page,key,value
0,title,保育所・認定こども園
0,title,地域型保育事業
0,title,（家庭的保育事業・小規模保育事業・事業所内保育事業）
0,title,H29年度施設一覧（予定）
0,title,（２号・３号認定子ども用）
2,所在区,東灘区
3,所在区,灘区
4,所在区,中央区
5,所在区,兵庫区
6,所在区,北区
7,所在区,長田区
8,所在区,須磨区
9,所在区,垂水区
10,所在区,西区
2,※１,幼保連携型認定こども園　夢は０～３歳児を全員本園で、４・５歳児を夢遊喜分園で、教育・保育を行います。
2,※２,（仮称）光の子認定こども園マナ分園及びリジョイス分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
2,※３,住吉むつみ保育園分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
3,※１,幼保連携型認定こども園　光愛児園SUN分園の対象児童は、０～２歳児です。（３歳児以降は、本園で保育を行います。）
3,※２,幼保連携型　めばえの園認定こども園すみれ分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
4,※,二宮保育所は、平成31年３月末に公立保育所としては閉所し、中央区二宮町１丁目に平成31年４月１日に開園する私立保育所に運営を引継ぐ予定です。
6,※,谷上保育園きらら分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
7,※,天隣乳児保育園（三番町４－８）は、平成２９年４月より神視保育園と統合します。
8,※１,（仮称）幼保連携型認定こども園　東須磨愛児園は、０～２歳児を全員分園で、３歳児以降を全員本園で、保育を行います。
8,※２,（仮称）幼保連携型認定こども園　村雨こども園愛分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
9,※１,（仮称）幼保連携型認定こども園　たけのこども園は、０・１歳児を全員そら分園で、２歳児以降を全員本園で、保育を行います。
9,※２,学が丘保育園分園は、０～４歳児を全員本園で、５歳児を全員分園で保育を行います。
10,※１,幼保連携型認定こども園　岩岡こども園は、０～３歳児を本園で、４・５歳児を分園で、教育・保育を行います。
10,※２,幼保連携型認定こども園　YMCA保育園おひさま分園の対象児童は、０～２歳児です。（３歳児以降は、本園で教育・保育を行います。）
10,※３,幼保連携型認定こども園　同朋にこにこ保育園分園なのはなの対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
10,※４,（仮称）出合保育園分園の対象児童は、０・１歳児です。（２歳児以降は、本園で保育を行います。）
10,※５,なかよし保育園ふれんど分園の対象児童は、０～３歳児です。（４歳児以降は、本園で保育を行います。）
10,※６,井吹北つぐみ保育園は、０・１歳児を全員分園で、２歳児以降を全員本園で、保育を行います。
